N_Imagem;Amostra;Site;Latitude;Longitude;Data;Espécies ;Sepal_length_cm ;Sepal_width_cm ;Petal_length_cm ;Petal_width_cm
A133;A146;Site2;48.540.502;-64.766.512;13/02/1930;Iris_virginica;6.7;3;5.2;2.3
A126;A125;Site2;48.540.502;-64.766.512;13/02/1930;Iris_virginica;6.7;3.3;5.7;2.1
A46;A4;Site3;48.329.837;-65.512.333;01/12/1929;Iris_setosa;4.6;3.1;1.5;0.2
A85;A55;Site3;48.329.837;-65.512.333;01/12/1929;Iris_versicolor;6.5;2.8;4.6;1.5
A54;A60;Site1;48.935.966;-64.840.984;01/12/1929;Iris_versicolor;5.2;2.7;3.9;1.4
A68;A53;Site2;48.540.502;-64.766.512;13/02/1930;Iris_versicolor;6.9;3.1;4.9;1.5
A72;A65;Site2;48.540.502;-64.766.512;13/02/1930;Iris_versicolor;5.6;2.9;3.6;1.3
A30;A5;Site2;48.540.502;-64.766.512;13/02/1930;Iris_setosa;5;3.6;1.4;0.2
A40;A37;Site3;48.329.837;-65.512.333;01/12/1929;Iris_setosa;5.5;3.5;1.3;0.2
A34;A19;Site3;48.329.837;-65.512.333;01/12/1929;Iris_setosa;5.7;3.8;1.7;0.3
A88;A64;Site3;48.329.837;-65.512.333;01/12/1929;Iris_versicolor;6.1;2.9;4.7;1.4
A29;A2;Site2;48.540.502;-64.766.512;13/02/1930;Iris_setosa;4.9;3;1.4;0.2
A100;A100;Site3;48.329.837;-65.512.333;01/12/1929;Iris_versicolor;5.7;2.8;4.1;1.3
A61;A81;Site1;48.935.966;-64.840.984;01/12/1929;Iris_versicolor;5.5;2.4;3.8;1.1
A103;A108;Site1;48.935.966;-64.840.984;01/12/1929;Iris_virginica;7.3;2.9;6.3;1.8
