N_Imagem;Amostra;Site;Latitude;Longitude;Data;Espécies;Sepal_length_cm ;Sepal_width_cm ;Petal_length_cm ;Petal_width_cm
A44;A49;Site3;48.329.837;-65.512.333;01/12/1929;Iris_setosa;5.3;3.7;1.5;0.2
A64;A90;Site1;48.935.966;-64.840.984;01/12/1929;Iris_versicolor;5.5;2.5;4;1.3
A122;A113;Site2;48.540.502;-64.766.512;13/02/1930;Iris_virginica;6.8;3;5.5;2.1
A82;A95;Site2;48.540.502;-64.766.512;13/02/1930;Iris_versicolor;5.6;2.7;4.2;1.3
A104;A111;Site1;48.935.966;-64.840.984;01/12/1929;Iris_virginica;6.5;3.2;5.1;2
A14;A9;Site1;48.935.966;-64.840.984;01/12/1929;Iris_setosa;4.4;2.9;1.4;0.2
A125;A122;Site2;48.540.502;-64.766.512;13/02/1930;Iris_virginica;5.6;2.8;4.9;2
A105;A114;Site1;48.935.966;-64.840.984;01/12/1929;Iris_virginica;5.7;2.5;5;2
A76;A77;Site2;48.540.502;-64.766.512;13/02/1930;Iris_versicolor;6.8;2.8;4.8;1.4
A102;A105;Site1;48.935.966;-64.840.984;01/12/1929;Iris_virginica;6.5;3;5.8;2.2
A48;A10;Site3;48.329.837;-65.512.333;01/12/1929;Iris_setosa;4.9;3.1;1.5;0.1
A121;A110;Site2;48.540.502;-64.766.512;13/02/1930;Iris_virginica;7.2;3.6;6.1;2.5
A36;A25;Site3;48.329.837;-65.512.333;01/12/1929;Iris_setosa;4.8;3.4;1.9;0.2
A24;A38;Site2;48.540.502;-64.766.512;13/02/1930;Iris_setosa;4.9;3.6;1.4;0.1
A74;A71;Site2;48.540.502;-64.766.512;13/02/1930;Iris_versicolor;5.9;3.2;4.8;1.8
